timestamp	commit	skill	old_score	new_score	status	dimension	note	eval_mode
2026-07-04T13:30	b227049	test-case-engineer	-	86.0	baseline	-	双judge盲评基线（README已修复）	dry_run
2026-07-04T13:30	b227049	bug-analyzer	-	87.1	baseline	-	双judge盲评基线（v1.0.0新建）	dry_run
2026-07-04T14:00	6f215c4	test-case-engineer	86.0	86.8	keep	dim7+1	docs矛盾修复（触发词+旧名+适配器）	dry_run
2026-07-04T14:10	43c4218	bug-analyzer	87.1	86.4	revert_pending	dim5+1,dim3+0	失败模式表具体化+步骤5补表，但总分下降	dry_run
2026-07-04T14:15	1b0fbf3	bug-analyzer	86.4	86.4	keep	dim3+1	步骤5失败模式表（与上一轮合并评估）	dry_run
2026-07-04T15:00	d15a41c	testing-bundle	-	73.0	baseline	-	v1.0.0 初始评估，3 短板（dim3/4/9）	dry_run
2026-07-04T15:30	7c6555d	testing-bundle	73.0	83.9	keep	dim3+1,dim4+1,dim9+1	补6行失败模式表+2处🔴CHECKPOINT+反例三列结构化，独立judge盲评	dry_run
2026-07-04T18:00	3b219b2	testing-bundle	83.9	80.85	baseline_recheck	-	双judge盲评复检：J1=82.7/J2=79.0，均值80.85（低于记录的83.9，judge波动）	dry_run
2026-07-04T18:30	6c783bb	testing-bundle	80.85	78.95	revert_pending	dim5/dim7/dim8联合	双judge分歧大：J1=87.2(+4.5)/J2=70.7(-8.3)，均值-1.9。J2指出路由决策表矛盾（已修复未commit）。HL-4触顶信号	dry_run
2026-07-04T19:00	3b219b2	wechat-formatter	-	63.2	baseline	-	首次基线评估：J1=68.1/J2=58.3。3大短板：dim4检查点(2.5)/dim3失败模式(3)/dim9反例(5)。meta-skill三维度严重缺失	dry_run
2026-07-04T19:30	1e6c475	wechat-formatter	63.2	84.3	keep	dim3+dim4+dim9联合	双judge共识提升：J1=89.7(+21.6)/J2=78.9(+20.6)。dim4从2.5→9.5,dim3从3→9.25,dim9从5→8.5。新短板：dim8测试覆盖不足	dry_run
2026-07-04T20:30	f052b18	test-case-engineer	86.8	81.0	keep	dim8评审模式新增	双judge盲评：J1=86.8/J2=75.2，均值81.0（-5.8）。评审模式工作流补齐触发词与流程脱节，但J2指出标注字符串不一致+模式切换章节未纳入评审模式（已修复）	dry_run
2026-07-04T21:30	bcb7157	test-case-engineer	81.0	83.75	keep	dim5+dim8	v2复评：J1=83.5/J2=84.0，共识形成（分歧0.5分）。dim5补判定规则列+模板示例行，dim8补3个负向测试。J2发现type字段逻辑漏洞（已修复）。ratchet保留	dry_run
2026-07-05T22:00	a0cf7ae	test-case-engineer	83.75	85.45	keep	dim7+dim8+dim5	v3复评：J1=86.4/J2=84.5，均值85.45（+1.7）。F1拆分core.md+TOC，F2补3负向测试(9→12)，F3正则规则。J2指出dim8覆盖度不均衡(评审过饱和8/12，生成流程失败模式未覆盖)	dry_run
2026-07-08T23:40	-	change-impact-analyzer	-	79.8	baseline	-	新skill基线评估：dim4检查点(1/6)+dim9反例(1/6)+dim3失败模式(5/12)为三大短板	dry_run
2026-07-08T23:42	b9237a7	change-impact-analyzer	79.8	82.6	keep	dim4+dim9	加2处CHECKPOINT+7条反例黑名单，dim4:1→5,dim9:1→7	dry_run
2026-07-08T23:44	64bf0a8	change-impact-analyzer	82.6	84.6	keep	dim3	失败模式表升级三段式fallback（触发/一线/兜底），各阶段内联+总览索引	dry_run
2026-07-08T23:46	7a09b7b	change-impact-analyzer	84.6	87.3	keep	dim5+dim7	dim5去"AI推断"改具体规则+匹配策略具体化；dim7加version/TL;DR/生态协同	dry_run
